pert_name	n_signatures	min_score	median_score	mean_score	best_fdr_q_nlog10	best_cell	moa	targets	direction
BRD-K05835710	4	0	0.471	0.5267999999999999	-0	A375	-666		positive_or_zero
BRD-K05837079	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K05877335	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K05886700	1	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K05902089	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K05939258	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K05940224	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K05950670	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K05951707	2	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K05977380	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K05984448	12	0	0.79665	0.5993416666666667	-0	NEU	-666		positive_or_zero
BRD-K06022983	2	0	0.39425	0.39425	-0	U2OS	-666		positive_or_zero
BRD-K06058625	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06086334	2	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K06087483	1	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K06146388	1	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K06157545	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06170455	3	0	0	0.27826666666666666	-0	MCF7	-666		positive_or_zero
BRD-K06174863	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06177900	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06187854	6	0	0	0.33315	-0	VCAP	-666		positive_or_zero
BRD-K06199632	4	0	0.4866	0.5353749999999999	-0	VCAP	-666		positive_or_zero
BRD-K06209536	2	0	0.33235	0.33235	-0	NPC	-666		positive_or_zero
BRD-K06212126	2	0	0.35405	0.35405	-0	PC3	-666		positive_or_zero
BRD-K06218527	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06240911	2	0	0.5142	0.5142	-0	A549	-666		positive_or_zero
BRD-K06250012	1	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K06261202	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06279388	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06280926	5	0	0	0.18446	-0	VCAP	-666		positive_or_zero
BRD-K06296167	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06296238	3	0	0	0.39986666666666665	-0	PC3	-666		positive_or_zero
BRD-K06308228	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06318195	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06356885	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K06370852	3	0	0	0.3920666666666666	-0	A375	-666		positive_or_zero
