mature_mirna_id	n_targets_total	n_targets_BROAD	n_targets_PPI_core	n_hits_TOP2A	n_hits_PARP1	hits_any_core_hub	hits_TOP2A_or_PARP1	logFC	adj.P.Val
hsa-miR-3124-3p	8	8	1	0	0	TRUE	FALSE	-22.69756335189999	1.2859495985995523e-5
hsa-miR-451a	8	8	1	0	0	TRUE	FALSE	-11.0876384203	1.4948941549659484e-7
hsa-miR-4775	8	8	1	0	2	TRUE	TRUE	-1.0004529305999998	4.722323677488068e-7
hsa-miR-491-3p	8	8	1	0	0	TRUE	FALSE	-1.8996553405	1.589524125229248e-4
hsa-miR-5006-3p	8	8	1	0	0	TRUE	FALSE	-29.499254918399995	5.565670596109261e-6
hsa-miR-764	8	8	1	0	0	TRUE	FALSE	-2.3067856794	2.867496009378461e-5
hsa-miR-498	7	7	1	0	0	TRUE	FALSE	-2.305698778399999	7.912549438473121e-4
hsa-miR-154-5p	6	6	1	0	0	TRUE	FALSE	-1.3153234081999992	3.0773239344579515e-10
hsa-miR-4709-3p	6	6	1	0	0	TRUE	FALSE	-3.071782360899998	0.00511779742076699
hsa-miR-4728-3p	6	6	1	0	0	TRUE	FALSE	-1.1170263432	2.199696370442397e-7
hsa-miR-224-3p	5	5	1	0	0	TRUE	FALSE	-5.929509462699996	0.00141095529976691
hsa-miR-302f	5	5	1	0	0	TRUE	FALSE	-8.395526389499997	1.3702757608192258e-5
hsa-miR-431-5p	5	5	1	0	0	TRUE	FALSE	-1.2124513368999998	2.8725840105461807e-5
hsa-miR-4458	5	5	1	0	0	TRUE	FALSE	1.5088855020000027	0.00937032240924422
hsa-miR-4500	5	5	1	0	0	TRUE	FALSE	-3.5487327270999964	0.00376716623663297
hsa-miR-5680	5	5	1	0	0	TRUE	FALSE	1.6807686234	8.094571947507126e-7
hsa-miR-660-3p	5	5	1	0	0	TRUE	FALSE	-4.742803437599994	4.951038023129369e-5
hsa-miR-3064-5p	4	4	1	0	0	TRUE	FALSE	2.5330794245000026	6.3377091446722295e-6
hsa-miR-4267	4	4	1	0	0	TRUE	FALSE	-1.1988804172999998	9.428392704377668e-6
hsa-miR-4476	4	4	1	0	0	TRUE	FALSE	3.2063062544000016	2.911575085404048e-8
hsa-miR-4480	4	4	1	0	0	TRUE	FALSE	-3.622793732799998	1.7535221948848374e-4
hsa-miR-450b-3p	4	4	1	0	0	TRUE	FALSE	-3.6454124224	5.2725683157336225e-11
hsa-miR-4784	4	4	1	0	0	TRUE	FALSE	1.7497937600000024	0.0150468693108861
hsa-miR-548an	4	4	1	0	0	TRUE	FALSE	-6.816950366799997	3.093636522438742e-5
hsa-miR-5581-3p	4	4	1	0	0	TRUE	FALSE	-2.936342731399999	1.679668934896272e-7
hsa-miR-3136-3p	3	3	1	0	0	TRUE	FALSE	-5.209691314899999	3.1678425992903077e-7
hsa-miR-3165	3	3	1	0	0	TRUE	FALSE	1.0626107221000007	0.00239292812437842
