gene	degree	betweenness	closeness	eigenvector	logFC_human	direction	is_hub	is_bottleneck	hub_type
KIF23	60	0.014461249939591863	0.34793187347931875	0.8962434026035285	2.292228425439395	up	TRUE	FALSE	hub
KIF2A	14	4.933071522734118e-5	0.29916317991631797	0.2646151100241705	1.0161843188848492	up	FALSE	FALSE	none
KIF2C	54	0.017380754853256228	0.34375	0.8698104212036316	1.753935161721213	up	TRUE	FALSE	hub
KIF4A	56	0.0040084558792285434	0.34375	0.9158316596361328	1.0597907806000009	up	TRUE	FALSE	hub
LIN7B	2	0	1	3.759283141328978e-18	-1.2377140166393952	down	FALSE	FALSE	none
LSP1	4	0.01260842349995529	0.22033898305084745	7.567842090977139e-4	-1.4694982348969718	down	FALSE	FALSE	none
MAP3K1	6	0.018778503085039793	0.27984344422700586	0.017352982541711002	-2.4244497766030326	down	FALSE	FALSE	none
MAPRE3	4	0.006348922471608692	0.25719424460431656	0.03793333036457708	-1.195347227351516	down	FALSE	FALSE	none
MCM2	24	0.0038003636660464846	0.3029661016949153	0.17689135367264425	1.371759070339394	up	FALSE	FALSE	none
MCM5	28	0.004666658361743385	0.3049040511727079	0.21591118498511386	1.174162015454545	up	FALSE	FALSE	none
MCM7	32	0.011140071191586134	0.31567328918322296	0.2727565447559931	1.5163202980242438	up	FALSE	FALSE	none
MELK	56	0.007721344281497504	0.3412887828162291	0.8993284225465372	1.9188700702060617	up	TRUE	FALSE	hub
METTL1	4	0	0.3888888888888889	0	1.5756866052969714	up	FALSE	FALSE	none
MFAP5	2	0	0.19833564493758668	7.706616903368607e-5	1.8189859469878815	up	FALSE	FALSE	none
MINPP1	8	0.006348922471608692	0.1623155505107832	3.964597866588707e-7	1.8120749758060624	up	FALSE	FALSE	none
MME	2	0	1	-0	-1.659068855981821	down	FALSE	FALSE	none
MRPL13	10	0	0.8571428571428571	0	1.0256531687030306	up	FALSE	FALSE	none
MRPL15	10	0	0.8571428571428571	0	1.089579625109092	up	FALSE	FALSE	none
MRPL32	10	0	0.8571428571428571	0	1.2323362881818187	up	FALSE	FALSE	none
MRPL37	12	2.2355360815523562e-4	1	3.0074265130631826e-17	1.928646662739395	up	FALSE	FALSE	none
MRPL45	10	0	0.8571428571428571	-0	1.0353857164121216	up	FALSE	FALSE	none
MRPS35	10	0	0.8571428571428571	-0	3.3270725782666695	up	FALSE	FALSE	none
MTHFD1	2	0	0.12274678111587983	5.490412099981725e-9	3.315738315993943	up	FALSE	FALSE	none
MYBL2	16	1.9864872304807145e-4	0.31019522776572667	0.27194399827415783	2.148638986284851	up	FALSE	FALSE	none
MYCN	4	0	0.28888888888888886	0.0506223529611076	-1.0284859891151528	down	FALSE	FALSE	none
MYD88	8	0.03251460449898016	0.2837301587301587	0.002871433153981506	2.60663762409091	up	FALSE	TRUE	bottleneck
MYH11	2	0	1	0	-2.8584073157515184	down	FALSE	FALSE	none
NCAPD3	2	0	0.2482638888888889	0.03297751862979994	1.1526009692	up	FALSE	FALSE	none
NCAPH	46	0.007291402760324588	0.3294930875576037	0.7576092270691596	1.4460257417818194	up	TRUE	FALSE	hub
NDUFA11	4	4.4710721631047124e-5	1	-0	2.012307981818184	up	FALSE	FALSE	none
NOP10	4	0.001073057319145131	0.3181818181818182	0	1.1295062273030303	up	FALSE	FALSE	none
NOP2	12	7.869087007064294e-4	0.5	6.014853026126365e-17	1.085163266630304	up	FALSE	FALSE	none
NUBPL	2	0	0.6666666666666666	0	1.3940503938121218	up	FALSE	FALSE	none
NUDCD1	2	0	0.3181818181818182	0	1.7007626938272735	up	FALSE	FALSE	none
NUF2	62	0.006482852842588144	0.34624697336561744	0.9541881749714178	1.3866749290000009	up	TRUE	FALSE	hub
OAT	4	0.012608423499955286	0.16194790486976218	2.89225018842413e-6	1.684232378860607	up	FALSE	FALSE	none
OIP5	30	3.0262815896435306e-4	0.2972972972972973	0.513030464772104	1.144742005442425	up	FALSE	FALSE	none
OLA1	2	0	0.2595281306715064	0.014561089222735846	1.084970910881819	up	FALSE	FALSE	none
PAG1	2	0	0.6666666666666666	0	-1.1202135220181837	down	FALSE	FALSE	none
PARP1	20	0.054629624841572744	0.33178654292343385	0.07207211724746816	1.2877823052545465	up	FALSE	TRUE	bottleneck
PARP9	6	0.031029240811946704	0.2539964476021314	0.0031491549857000163	1.599328266145456	up	FALSE	TRUE	bottleneck
PBK	54	0.0024942717109698513	0.33966745843230406	0.894973521498444	2.8143870583454573	up	TRUE	FALSE	hub
PCGF6	8	0	0.2865731462925852	0.07015993981578578	1.1766822402242438	up	FALSE	FALSE	none
PCNA	24	0.011628313412523076	0.32134831460674157	0.17902885525517495	2.849537122303033	up	FALSE	FALSE	none
PELI3	2	0	0.18193384223918574	5.450894746935081e-6	-1.5021011973393956	down	FALSE	FALSE	none
PFKL	6	0	0.16194790486976218	3.957086056640082e-7	1.06335036139091	up	FALSE	FALSE	none
